File,corpus,label
0002-page1.png,zylab,gray
0010-page0.png,zylab,gray
0017-page1.png,zylab,gray
0002-page0.png,zylab,gray
0014-page2.png,zylab,gray
0016-page2.png,zylab,gray
0017-page0.png,zylab,gray
0018-page0.png,zylab,gray
0008-page0.png,zylab,gray
0001-page0.png,zylab,gray
0009-page0.png,zylab,gray
0007-page1.png,zylab,gray
0005-page1.png,zylab,gray
0003-page1.png,zylab,gray
0006-page1.png,zylab,gray
0003-page0.png,zylab,gray
0016-page0.png,zylab,gray
0015-page1.png,zylab,gray
0011-page0.png,zylab,gray
0009-page7.png,zylab,gray
0004-page0.png,zylab,gray
0002-page2.png,zylab,gray
0015-page0.png,zylab,gray
0005-page0.png,zylab,gray
0002-page3.png,zylab,gray
0006-page0.png,zylab,gray
0007-page0.png,zylab,gray
0012-page0.png,zylab,gray
0013-page1.png,zylab,gray
0014-page0.png,zylab,gray
0016-page3.png,zylab,gray
0014-page1.png,zylab,gray
0016-page1.png,zylab,gray
0014-page3.png,zylab,gray
0016-page4.png,zylab,gray
0009-page9.png,zylab,gray
wob_verzoek_uitbreiding_terras-970022-page0.png,corpus1,black
wob-verzoek_wieringa_tweede_bloemdwarsstraat_2-990937-page0.png,corpus1,black
Wob_verzoek_Emmastraat_Gooiplein_en_Groest_Zuid_Hilversum-page-001.png,corpus1,black
wob-verzoek_weigeren_omgevingsvergunning_clazina-maria-963267-page0.png,corpus1,gray
wob_verzoek_stukken_hondenverbod_kop_van_jut-964275-page2.png,corpus1,black
wob-verzoek_ontstaansgeschiedenis_ijplein_voormalig_adm-terrein-963340-page1.png,corpus1,gray
wob-verzoek_uitvoeringsrichtlijn_kruimelgevallen-964248-page0.png,corpus1,black
wob-verzoek_omgevingsvergunning_terrein_nieuwendammerdijk_538-963594-page1.png,corpus1,gray
wob-verzoek_vraag_ingediend_bezwaar_op_besluit-987485-page0.png,corpus1,black
wob-verzoek_project_noordeinde-963416-page0.png,corpus1,gray
wob-verzoek_ontstaansgeschiedenis_ijplein_voormalig_adm-terrein-963340-page0.png,corpus1,gray
wob-verzoek_vmr-land_voor_publicatie-986643-page1.png,corpus1,black
wob-verzoek_wieringa_tweede_bloemdwarsstraat_2-990937-page1.png,corpus1,black
wob-verzoek_voor_publicatie-963263-page0.png,corpus1,black
Wob_verzoek_Emmastraat_Gooiplein_en_Groest_Zuid_Hilversum-page-002.png,corpus1,black
wob-verzoek_project_noordeinde-963416-page2.png,corpus1,gray
wob-verzoek_omgevingsvergunning_terrein_nieuwendammerdijk_538-963594-page0.png,corpus1,gray
wob-verzoek_vmr-land_voor_publicatie-986643-page0.png,corpus1,black
wob_verzoek_stukken_hondenverbod_kop_van_jut-964275-page1.png,corpus1,black
wob-verzoek_project_noordeinde-963416-page1.png,corpus1,gray
wob-verzoek_voor_publicatie-963263-page1.png,corpus1,black
Wob_verzoek_Emmastraat_Gooiplein_en_Groest_Zuid_Hilversum-page-004.png,corpus1,color
wob_verzoek_voorontwerpbestemmingsplan_slotermeer_2018-885402-page0.png,corpus1,black
wob-verzoek_schade_de_ruijterkade_110_21-08-2018-893735-page0.png,corpus1,black
wob_verzoek_postzegelpark-969443-page0.png,corpus1,black
wob-verzoek_weigeren_omgevingsvergunning_clazina-maria-963267-page1.png,corpus1,gray
wob-verzoek_verlening_ligplaatsvergunning_zwaantje_schellingwouderdijk-963377-page0.png,corpus1,gray
wob_verzoek_woz_8sept2020_gelakt-963896-page0.png,corpus1,black
wob-verzoek_voor_publicatie-963263-page2.png,corpus1,black
wob_verzoek_uitbreiding_terras-970022-page1.png,corpus1,black
wob-verzoek_originele_bouwtekeningen_hilversumstraat_46_48_52_54_en_56-963319-page0.png,corpus1,gray
